STID;Sample_IDs;CombID;Host;Inoculant;Condition;Salt_conc;Soil;Media;Rreplicate;Picture;Root_tube;Nodule_Tube;RootCondition;PlantCondition_bin;PHID;Number_of_branch;Number_of_leaf;Length;RootLength;PotCondition;PlantCondition;Inoculant_Condition;Host_Inoculant_Condition;Project;ExperimentField;Collected_data_sereal;Type;Inoculant_Collected_day;Date entered;;;;
STID2;MB858;158;MG46;MC1;SALT;Salt:150;Vermiculite;B_and_D;2;8;1136;1136;Good;Good;PH858;1;5;25,45645;82,85849;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB859;158;MG46;MC1;SALT;Salt:150;Vermiculite;B_and_D;2;8;1137;1137;Good;Good;PH859;1;4;18,93194;98,78874;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB860;158;MG46;MC1;SALT;Salt:150;Vermiculite;B_and_D;2;8;1138;1138;Good;Good;PH860;1;5;27,25274;77,28383;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB861;158;MG46;MC1;SALT;Salt:150;Vermiculite;B_and_D;2;8;1139;1139;Good;Good;PH861;1;5;22,12015;111,16372;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB862;63;GIFU;MC1;SALT;Salt:100;Vermiculite;B_and_D;1;9;1140;1140;Good;Good;PH862;1;7;41,64225;166,84218;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB863;63;GIFU;MC1;SALT;Salt:100;Vermiculite;B_and_D;1;9;1141;1141;Good;Good;PH863;1;2;12,94852;34,82625;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB864;63;GIFU;MC1;SALT;Salt:100;Vermiculite;B_and_D;1;9;1142;1142;Good;Good;PH864;1;4;32,66168;123,75516;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB865;63;GIFU;MC1;SALT;Salt:100;Vermiculite;B_and_D;1;9;1143;1143;Good;Good;PH865;1;5;40,69669;185,65602;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB866;63;GIFU;MC1;SALT;Salt:100;Vermiculite;B_and_D;1;9;1144;1144;Good;Good;PH866;1;6;51,65612;129,20102;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB867;63;GIFU;MC1;SALT;Salt:100;Vermiculite;B_and_D;1;9;1145;1145;Good;Good;PH867;1;5;44,706;123,3891;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
